Chip Run Info,H:\Deleted from D_AT30\DX3\HER2\Breast cancer gDNA cell line spike-ins\1482019095 48-770 uniplex HER2 RNaseP BC gDNA 20-10-2009\ChipRun.bml,1482019095,48.770,Default-10min-Hot-Start,ROX,FAM-MGB : VIC-TAMRA,10/20/2009 12:12:18 PM,01:33:33,BIOMARK052
Application Version,4.0.1
Application Build,20130423.0844
Export Type,Detailed Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,VIC-TAMRA,VIC-TAMRA,VIC-TAMRA,VIC-TAMRA,VIC-TAMRA,User
Chamber and Panel,Chamber and Panel,Sample,Sample,Sample,FAM-MGB,FAM-MGB,VIC-TAMRA,VIC-TAMRA,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Defined
Chamber ID,Panel ID,Name,Type,rConc.,Name,Type,Name,Type,Value,Quality,Call,Target,Threshold,Value,Quality,Call,Target,Threshold,Comments
P01-X01-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X02-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X03-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X04-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X05-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X06-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X07-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X08-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X09-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X10-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X11-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X12-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X13-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X14-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X15-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X16-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X17-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X18-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X19-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X20-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X21-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X22-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X23-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X24-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X25-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X26-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X27-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X28-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X29-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X30-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X31-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X32-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X33-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X34-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X35-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X36-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X37-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X38-Y01,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
