Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,6.1,ddPCR Supermix for Probes (no dUTP),122,,,7.6,4.8,73,14015,27,46,7910,6105,0,14088,,,,,,,,0.0063,,,0.0077,0.0048,0.62,,,0.77,0.48,1,1,1319,2944.3,520.55,533.11,,,,,6.9,5.4,,,,,,,0.007,0.0055,,,0.7,0.55
A02,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,159,ddPCR Supermix for Probes (no dUTP),3180,,,167,152,1762,12168,1727,35,9175,2993,145,13930,,,,,,,,0.0886,,,0.0931,0.0841,8.14,,,8.52,7.76,1,1,1535,1352,461.74,574.35,,,,,162.9,155.3,,,,,,,0.0909,0.0863,,,8.33,7.95
A03,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,1.3,ddPCR Supermix for Probes (no dUTP),26,,,2.1,0.8,17,15148,15,2,13158,1990,0.138,15165,,,,,,,,0.00055,,,0.00082,0.00029,0.055,,,0.082,0.029,1,1,1677,6805.3,618.16,625.09,,,,,1.67,1.02,,,,,,,0.00069,0.00042,,,0.069,0.042
A04,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,133,ddPCR Supermix for Probes (no dUTP),2660,,,140,127,1660,13851,1632,28,10346,3505,124,15511,,,,,,,,0.0765,,,0.0805,0.0725,7.11,,,7.45,6.76,1,1,1424,1276.8,424.75,515.94,,,,,136.4,129.9,,,,,,,0.0785,0.0745,,,7.28,6.93
A05,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,1.8,ddPCR Supermix for Probes (no dUTP),36,,,2.6,1.2,25,16076,19,6,12231,3845,0,16101,,,,,,,,0.00109,,,0.00152,0.00066,0.109,,,0.151,0.066,1,1,1675,6337.8,609.22,618.11,,,,,2.22,1.49,,,,,,,0.0013,0.00087,,,0.13,0.087
A06,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,Manual,3.5,ddPCR Supermix for Probes (no dUTP),70,,,5.3,2.1,19,6444,18,1,5525,919,2.18,6463,,,,,,,,0.0015,,,0.0022,0.0008,0.15,,,0.22,0.08,1,1,2035,5999.5,562.96,578.94,,,,,4.3,2.7,,,,,,,0.00186,0.00116,,,0.185,0.116
A07,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,1.4,ddPCR Supermix for Probes (no dUTP),28,,,2.1,0.8,16,13802,15,1,10466,3336,1.01,13818,,,,,,,,0.00082,,,0.00122,0.00041,0.081,,,0.122,0.041,1,1,1626,6709,587.96,595.04,,,,,1.73,1.05,,,,,,,0.00102,0.00061,,,0.102,0.061
A08,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,157,ddPCR Supermix for Probes (no dUTP),3140,,,164,150,2082,14569,2047,35,10501,4068,147,16651,,,,,,,,0.0954,,,0.0998,0.0909,8.71,,,9.08,8.33,1,1,1467,1239.1,437.51,537.74,,,,,160.6,153.7,,,,,,,0.0976,0.0931,,,8.9,8.52
A09,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,1.9,ddPCR Supermix for Probes (no dUTP),38,,,2.7,1.2,25,15799,18,7,12219,3580,0,15824,,,,,,,,0.00107,,,0.00149,0.00064,0.106,,,0.148,0.064,1,1,1465,5384.6,530.52,538.19,,,,,2.26,1.51,,,,,,,0.00128,0.00085,,,0.128,0.085
A10,Absolute Quantification,ABS,,Ch1Unknown,hbb-Ey,OK,14.9,ddPCR Supermix for Probes (no dUTP),298,,,17.1,12.8,191,14951,83,108,11778,3173,0,15142,,,,,,,,0.0083,,,0.0095,0.0071,0.82,,,0.94,0.71,1,1,1302,2059.2,468.46,488.52,,,,,16,13.9,,,,,,,0.0089,0.0077,,,0.88,0.76
